Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Character1Name,마야
Character2Name,로빈
Character3Name,로이드
Character4Name,게일
Character1Desc,그녀의 이름은 마야.
Character2Desc,그녀의 이름은 로빈.
Character3Desc,그의 이름은 로이드.
Character4Desc,그의 이름은 게일.
AP,공격력
DP,방어력
CLASS,클래스
WARRIOR,전사
ARCHER,궁수
HEALER,치유사
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,코스트
NONE,없음
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
NONCONSUMABLE,비소모품
SAVE,저장
LOAD,로드
CREATEITEM,아이템 생성
DELETEITEM,아이템 삭제
DATEASCENDING,날짜 (오름차순)
DATEDESCENDING,날짜 (내림차순)
NAMEASCENDING,이름 (오름차순)
NAMEDESCENDING,이름 (내림차순)
COSTASCENDING,코스트 (오름차순)
COSTDESCENDING,코스트 (내림차순)
VALUEASCENDING,밸류 (오름차순)
VALUEDESCENDING,밸류 (내림차순)
